SKU,Label,Pieces,Pallets,Width,Depth,Height,Weight
FFSGS6356-30WHT,Forno Galiano 30-inch Freestanding French Door Dual Fuel Range White,1,0,32,30,44,304
FFSGS6356-30BLK,Forno Galiano 30-inch Freestanding French Door Dual Fuel Range Black,1,0,32,30,44,304
FFSGS6444-30WHT,"Forno Galiano 30-inch French Door Gas Range
White with Antique Brass Design, 5 Burners,
68,000 BTU, 4.32 cu.ft. Convection Oven",1,0,32,30,44,309
FFSGS6356-36WHT,Forno Galiano 36-inch Freestanding French Door Dual Fuel Range White,1,0,38,30,44,348
FFSGS6277-36WHT,"Marco 36-Inch Gas Range White & Antique Brass Design, 6 Burners 67,000 BTU, 5.36 cu.ft. Convection Oven",1,0,38,30,44,274
FFSGS6277-36BLK,"Marco 36-Inch Gas Range Black & Antique Brass Design, 6 Burners 67,000 BTU, 5.36 cu.ft. Convection Oven",1,0,38,30,44,274
FFSGS6277-30WHT,"Marco 30-inch Gas Range White & Antique Brass Design, 4 Burners 37,000 BTU, 4.32 cu.ft. Convection Oven",1,0,33,30,44,206
FFSGS6277-30BLK,"Marco 30-inch Gas Range Black & Antique Brass Design, 4 Burners 37,000 BTU, 4.32 cu.ft. Convection Oven",1,0,33,30,44,206
FFSGS6274-30BLK,"Giovanni 30-inch Gas Range Black & Antique Brass Design, 5 Burners 67,000 BTU, 4.32 cu.ft. Convection Oven",1,0,33,30,44,228
FFSGS6274-30WHT,"Giovanni 30-inch Gas Range White & Antique Brass Design, 5 Burners 67,000 BTU, 4.32 cu.ft. Convection Oven",1,0,33,30,44,228
FFSGS6444-36WHT,"Forno Galiano 36-inch French Door Gas Range White and Antique Brass Design, 6 Sealed Burners 83,000 BTU, 5.36 cu.ft. Convection Oven",1,0,38,30,44,348
FFSGS6156-48WHT,"Galiano 48-inch Dual Fuel Range White & Antique Brass Design with 8 Sealed Burners 107,000 BTU, 6.58 cu. ft. double ovens & Griddle",1,0,51,30,44,441
FFSGS6356-48WHT,"Forno Galiano 48-inch French Door Dual Fuel Range, White & Antique Brass Design, 8 Sealed Burners - 107,000 BTU, Griddle, 6.58 cu.ft. Double Ovens",1,0,50,30,44,450
FFSGS6356-48BLK,"Forno Galiano 48-inch French Door Dual Fuel Range, Black & Antique Brass Design, 8 Sealed Burners - 107,000 BTU, Griddle, 6.58 cu.ft. Double Ovens",1,0,50,30,44,450
FFSGS6356-36BLK,Forno Galiano 36-inch Freestanding French Door Dual Fuel Range Black,1,0,38,30,44,348
FFSGS6156-36WHT,"Forno Galiano 36"" Freestanding Dual Fuel Range in White",1,0,39,31,43,331
FFSGS6156-36BLK,"Forno Galiano 36"" Freestanding Dual Fuel Range in Black",1,0,39,31,43,331
FFSGS6244-36WHT,"Forno Galiano 36-inch Freestanding Gas Range in White with Antique Brass Design, 6 Burners, 83,000 BTU, 5.36 cu.ft. Convection Oven",1,0,39,31,43,324
FFSGS6244-36BLK,"Forno Galiano 36-inch Freestanding Gas Range in Black with Antique Brass Design, 6 Burners, 83,000 BTU, 5.36 cu.ft. Convection Oven",1,0,39,31,43,324
FFSGS6244-48WHT,"FORNO Galiano 48-inch Gas Range White & Antique Brass Design, 8 Burners, 107,000 BTU, Griddle, 6.58 cu.ft. Double Ovens",1,0,51,30,44,448
FFSGS6244-48BLK,"FORNO Galiano 48-inch Gas Range Black & Antique Brass Design, 8 Burners, 107,000 BTU, Griddle, 6.58 cu.ft. Double Ovens",1,0,51,30,44,448
